country,latitude,longitude,gdp
"United States",37.09024,-95.712891,21427700000000
China,35.86166,104.195397,19910000000000
Japan,36.204824,138.252924,5081770000000
Germany,51.165691,10.451526,3845630000000
"United Kingdom",55.378051,-3.435973,2827110000000
France,46.227638,2.213749,2715520000000
India,20.593684,78.96288,2611000000000
"South Korea",35.907757,127.766922,2029000000000
Italy,41.87194,12.56738,2001240000000
Brazil,-14.235004,-51.92528,1839760000000
Canada,56.130366,-106.346771,1736430000000
Russia,61.52401,105.318756,1699880000000
Spain,40.463667,-3.74922,1394120000000
Australia,-25.274398,133.775136,1392680000000
Mexico,23.634501,-102.552784,1258290000000
Indonesia,-0.789275,113.921327,1119190000000
Netherlands,52.132633,5.291266,909070000000
"Saudi Arabia",23.885942,45.079162,792967000000
Turkey,38.963745,35.243322,754412000000
Switzerland,46.818188,8.227512,703082000000
Poland,51.919438,19.145136,592164000000
Thailand,15.870032,100.992541,543650000000
Sweden,60.128161,18.643501,530833000000
Belgium,50.503887,4.469936,529607000000
Argentina,-38.416097,-63.616672,449663000000
Nigeria,9.081999,8.675277,448120000000
Austria,47.516231,14.550072,446315000000
Iran,32.427908,53.688046,445345000000
"United Arab Emirates",23.424076,53.847818,421142000000
Norway,60.472024,8.468946,403336000000
Israel,31.046051,34.851612,395099000000
"Republic of Ireland",53.41291,-8.24389,388699000000
Philippines,12.879721,121.774017,376796000000
Malaysia,4.210484,101.975766,364702000000
"South Africa",-30.559482,22.937506,351432000000
Denmark,56.26392,9.501785,348078000000
Colombia,4.570868,-74.297333,323803000000
Pakistan,30.375321,69.345116,304400000000
Egypt,26.820553,30.802498,303175000000
Chile,-35.675147,-71.542969,282318000000
Finland,61.92411,25.748151,268761000000
Vietnam,14.058324,108.277199,261921000000
Romania,45.943161,24.96676,250077000000
"Czech Republic",49.817492,15.472962,246489000000
Portugal,39.399872,-8.224454,237686000000
Iraq,33.223191,43.679291,234094000000
Peru,-9.189967,-75.015152,226848000000
Greece,39.074208,21.824312,209853000000
"New Zealand",-40.900557,174.885971,206929000000
Qatar,25.354826,51.183884,183466000000
Kazakhstan,48.019573,66.923684,180162000000
Algeria,28.033886,1.659626,169988000000
Hungary,47.162494,19.503304,160967000000
Ukraine,48.379433,31.16558,153781000000
Kuwait,29.31166,47.481766,134761000000
Morocco,31.791702,-7.09262,118725000000
Ecuador,-1.831239,-78.183406,107436000000
